id,title,dept,subarea,assignee,market,priority,status,progress,due,note,campaign
"2yu6q9c","Influencer Inbound","inbound","Influencer Inbound","","ALL","Medium","To Do","0","","",""
"72rb1fm","Office Inbound","inbound","Office Inbound","","ALL","Medium","To Do","0","","",""
"8nokegs","Inquiry Handling","inbound","Inquiry Handling","","ALL","Medium","To Do","0","","",""
"5xajhpu","Client Inbound","inbound","Client Inbound","","ALL","Medium","To Do","0","","",""
"y14i1wd","Complaints","inbound","Complaints","","ALL","Medium","To Do","0","","",""
"efntsw3","Feedback Collection","inbound","Feedback Collection","","ALL","Medium","To Do","0","","",""
"sfoshqi","Referrals","inbound","Referrals","","ALL","Medium","To Do","0","","",""
"ro4vb0g","Outreach — Sourcing","inbound","Outreach — Sourcing","","ALL","Medium","To Do","0","","",""
"3l9942y","Reactivation","inbound","Reactivation","","ALL","Medium","To Do","0","","",""
"v9nf4ox","Upselling","inbound","Upselling","","ALL","Medium","To Do","0","","",""
"nk9ha12","Activation Flow","outbound","Activation Flow","","ALL","Medium","To Do","0","","",""
"ixq91am","New Influencer Onboarding (50/day/agent)","outbound","New Influencer Onboarding (50/day/agent)","","ALL","Medium","To Do","0","","",""
"tgolivy","Confirmation — From List","outbound","Confirmation — From List","","ALL","Medium","To Do","0","","",""
"cglj8u1","Campaign Outbound","outbound","Campaign Outbound","","ALL","Medium","To Do","0","","",""
"ztz9343","Client Outbound","outbound","Client Outbound","","ALL","Medium","To Do","0","","",""
"qk2kxx2","Complaints — Outbound","outbound","Complaints — Outbound","","ALL","Medium","To Do","0","","",""
"l2hbd6y","Escalation Handling","outbound","Escalation Handling","","ALL","Medium","To Do","0","","",""
"wxap49x","App Credentials on Reply","outbound","App Credentials on Reply","","ALL","Medium","To Do","0","","",""
"ptx9x0k","Daily Meeting ≤30 min","outbound","Daily Meeting ≤30 min","","ALL","Medium","To Do","0","","",""
"vu9u80c","Office & Internal Coordination","outbound","Office & Internal Coordination","","ALL","Medium","To Do","0","","",""
